filename,method,precision,recall,f1_score,true_positives,false_positives,false_negatives,total_predictions,total_gold_pages
ollama_llama4_scout_results.json,ollama_llm,0.4304,0.817629179331307,0.5639412997903565,269,356,60,625,329
classified_results_80_partial.json,confidence_t80,0.2966700302724521,0.8936170212765957,0.4454545454545455,294,697,35,991,329
nil.json,baseline,0.3328149300155521,0.6504559270516718,0.44032921810699593,214,429,115,643,329
classified_results_70_partial.json,confidence_t70,0.2801519468186135,0.8966565349544073,0.42691751085383506,295,758,34,1053,329
classified_results_60_partial.json,confidence_t60,0.24749163879598662,0.8996960486322189,0.3881967213114754,296,900,33,1196,329
nil_80.json,baseline,0.5076142131979695,0.303951367781155,0.3802281368821293,100,97,229,197,329
semantic_t0.6_results.json,semantic_t0.6,0.30902111324376197,0.48936170212765956,0.3788235294117647,161,360,168,521,329
semantic_t0.5_results.json,semantic_t0.5,0.15326975476839236,0.6838905775075987,0.25041736227045075,225,1243,104,1468,329
semantic_t0.7_results.json,semantic_t0.7,0.3273809523809524,0.16717325227963525,0.22132796780684105,55,113,274,168,329
classified_results_60.json,confidence_t60,0.17511520737327188,0.23100303951367782,0.19921363040629098,76,358,253,434,329
classified_results_50.json,confidence_t50,0.08328912466843501,0.47720364741641336,0.14182475158084915,157,1728,172,1885,329
semantic_t0.4_results.json,semantic_t0.4,0.07056748015289621,0.729483282674772,0.128686327077748,240,3161,89,3401,329
classified_results_70.json,confidence_t70,0.28,0.06382978723404255,0.10396039603960397,21,54,308,75,329
